iter	RMSE
0	23.90081253
1	22.27344711
2	20.87266107
3	19.37905814
4	18.13606856
5	17.04846185
6	16.02115293
7	14.96956796
8	14.16534397
9	13.21312928
10	12.56038388
11	11.86391433
12	11.1542198
13	10.55490333
14	10.04887999
15	9.582822851
16	9.073400544
17	8.612466559
18	8.171389999
19	7.785000455
20	7.442588927
21	7.12194247
22	6.821304909
23	6.522173721
24	6.278643593
25	6.054526107
26	5.856645602
27	5.686748324
28	5.561319313
29	5.380392445
30	5.237291205
31	5.104780058
32	4.994965013
33	4.888250883
34	4.731369525
35	4.591034823
36	4.485602089
37	4.384680543
38	4.277023022
39	4.19811749
40	4.121589199
41	4.053203768
42	3.978226061
43	3.893250289
44	3.845928897
45	3.778218414
46	3.697614822
47	3.639020308
48	3.588731863
49	3.516897957
50	3.454640468
51	3.403375654
52	3.348496197
53	3.291997694
54	3.255630832
55	3.21674662
56	3.154804641
57	3.128457782
58	3.079868477
59	3.048889704
60	3.009526958
61	2.988957937
62	2.955298355
63	2.924345217
64	2.882808025
65	2.846140865
66	2.826163591
67	2.789474209
68	2.762287822
69	2.730534561
70	2.694157618
71	2.661193457
72	2.649048641
73	2.616884227
74	2.596917274
75	2.557229424
76	2.539203838
77	2.510174229
78	2.494617143
79	2.476101064
80	2.447881412
81	2.421539016
82	2.401436885
83	2.368925025
84	2.348938184
85	2.323088705
86	2.300846641
87	2.290149551
88	2.272570254
89	2.264649912
90	2.240865203
91	2.228701753
92	2.191894193
93	2.169021324
94	2.14758722
95	2.129502347
96	2.10946888
97	2.098927828
98	2.084497894
99	2.066837037
