iter	Passed	Remaining
0	6	606
1	11	554
2	17	566
3	23	558
4	29	554
5	34	546
6	40	540
7	46	536
8	51	520
9	56	505
10	61	495
11	66	485
12	70	473
13	76	468
14	80	455
15	84	442
16	89	435
17	93	426
18	98	419
19	103	412
20	108	407
21	113	401
22	118	395
23	122	388
24	127	381
25	131	374
26	136	368
27	141	363
28	145	356
29	150	350
30	154	344
31	158	337
32	163	331
33	168	327
34	173	322
35	178	316
36	182	310
37	186	304
38	191	300
39	196	294
40	200	289
41	205	283
42	210	279
43	215	274
44	219	268
45	223	262
46	228	258
47	233	253
48	239	248
49	243	243
50	247	238
51	252	232
52	256	227
53	260	222
54	265	217
55	270	212
56	274	207
57	279	202
58	283	197
59	287	191
60	292	186
61	297	182
62	301	177
63	306	172
64	311	167
65	315	162
66	320	157
67	325	153
68	329	148
69	333	142
70	338	138
71	343	133
72	347	128
73	352	123
74	356	118
75	361	114
76	365	109
77	370	104
78	374	99
79	378	94
80	382	89
81	386	84
82	391	80
83	397	75
84	402	71
85	407	66
86	411	61
87	415	56
88	418	51
89	422	46
90	426	42
91	430	37
92	435	32
93	443	28
94	447	23
95	451	18
96	455	14
97	459	9
98	462	4
99	465	0
