Product_ID,Product_Name,Category,Base_Price,Demand_Elasticity,Seasonal_Factor,Competitor_Price,Inventory_Level,Customer_Rating,Green_Certification
P0001,Solar-Powered Lantern,Personal Care,87.96,-1.14,1.39,111.25,233,4.1,1
P0002,Recycled Paper Planner,Personal Care,57.1,-1.06,0.92,51.94,272,4.9,0
P0003,Eco-Friendly Notebook,Stationery,84.04,-0.77,0.98,31.87,460,4.2,0
P0004,Solar Charger,Household,95.45,-1.46,0.89,119.71,593,4.2,1
P0005,Organic Cotton T-Shirt,Household,47.45,-1.27,1.02,97.14,107,4.6,0
P0006,Reusable Water Bottle,Household,51.07,-1.41,1.23,73.92,476,3.9,1
P0007,Bamboo Toothbrush,Household,41.87,-1.17,1.07,37.07,846,4.3,1
P0008,Recycled Paper Planner,Electronics,14.37,-1.18,0.89,73.02,234,4.9,0
P0009,Organic Cotton T-Shirt,Clothing,37.85,-0.62,1.44,111.44,167,3.4,0
P0010,Compostable Trash Bags,Stationery,64.67,-0.89,1.09,68.41,946,3.2,1
P0011,Recycled Paper Planner,Clothing,98.85,-0.87,0.94,101.8,544,4.9,0
P0012,Solar-Powered Lantern,Personal Care,18.28,-1.44,0.9,81.9,476,3.3,1
P0013,Reusable Water Bottle,Electronics,71.9,-1.41,0.89,35.31,716,4.9,0
P0014,Compostable Trash Bags,Household,96.19,-0.87,0.84,63.4,52,4.3,0
P0015,Eco-Friendly Notebook,Personal Care,61.02,-0.55,0.81,52.78,324,3.5,1
P0016,Recycled Paper Planner,Electronics,12.54,-1.01,1.43,65.98,909,4.8,1
P0017,Eco-Friendly Notebook,Household,56.16,-1.39,1.38,60.26,500,3.7,0
P0018,Bamboo Toothbrush,Electronics,46.97,-0.93,1.04,95.86,170,4.9,0
P0019,Bamboo Toothbrush,Electronics,60.37,-0.7,1.1,19.59,363,5,1
P0020,Compostable Trash Bags,Household,72.5,-1.04,1.46,55.38,903,3.8,0
P0021,Organic Cotton T-Shirt,Electronics,23.24,-0.86,0.89,88.92,912,4,0
P0022,Compostable Trash Bags,Stationery,32.32,-0.76,1.22,107.83,319,4.1,0
P0023,Bamboo Toothbrush,Stationery,85.77,-0.64,1.1,45.85,984,4.4,1
P0024,Solar Charger,Stationery,39.26,-0.84,1.02,114.04,215,4.6,0
P0025,Bamboo Toothbrush,Stationery,44.75,-1.28,1.27,111.58,884,3.7,1
P0026,Compostable Trash Bags,Stationery,78.78,-0.92,1.19,95.36,630,3.2,1
P0027,Compostable Trash Bags,Stationery,96.94,-0.58,1.34,22.32,160,3,0
P0028,Reusable Water Bottle,Household,14.56,-0.93,1.15,31.49,400,3,1
P0029,Reusable Water Bottle,Household,10.16,-0.71,1.2,99.38,137,4.4,0
P0030,Bamboo Toothbrush,Electronics,84,-1.06,1.28,71.23,169,4.8,1
P0031,Organic Wool Socks,Clothing,97.81,-1,1.34,39.85,620,4.7,0
P0032,Compostable Trash Bags,Household,44,-0.6,1.01,91.89,164,4.9,1
P0033,Bamboo Toothbrush,Household,34.36,-0.68,1.15,88.58,567,4.6,0
P0034,Eco-Friendly Notebook,Household,43.91,-0.81,1.45,97.49,325,4.5,0
P0035,Compostable Trash Bags,Clothing,85.27,-1.19,1.42,61.51,878,3.2,0
P0036,Compostable Trash Bags,Stationery,74.15,-1.12,1.19,40.84,755,4.2,1
P0037,Bamboo Toothbrush,Electronics,43.34,-1.26,1.07,42.68,337,4.9,1
P0038,Compostable Trash Bags,Electronics,54.63,-0.57,0.82,67.92,292,3.8,0
P0039,Recycled Paper Planner,Personal Care,66.39,-0.98,1.25,83.27,780,3.2,1
P0040,Solar-Powered Lantern,Stationery,95.58,-0.75,1.35,81.48,521,3.8,1
P0041,Eco-Friendly Notebook,Stationery,46.92,-0.97,1.3,91.55,886,4.8,0
P0042,Bamboo Toothbrush,Stationery,82.73,-1.5,1.18,92.56,225,3.2,1
P0043,Organic Cotton T-Shirt,Electronics,21.7,-1.07,1.38,33.3,551,4.5,0
P0044,Compostable Trash Bags,Clothing,28.46,-0.98,1.12,103.77,671,4.4,1
P0045,Eco-Friendly Notebook,Stationery,15.38,-1.03,1,83.58,941,4.3,0
P0046,Organic Wool Socks,Household,62.55,-1.31,1.11,9.51,272,3.3,1
P0047,Organic Wool Socks,Household,61.54,-0.68,1.25,56.26,450,4.8,1
P0048,Eco-Friendly Notebook,Household,61.13,-1.06,0.9,16.5,658,3.8,0
P0049,Bamboo Toothbrush,Household,35.33,-0.75,0.91,20.41,772,3.2,0
P0050,Organic Cotton T-Shirt,Clothing,26.59,-1.23,1.19,74.7,169,3.9,1
P0051,Organic Wool Socks,Electronics,90.05,-1.33,1.03,72.82,654,4.5,0
P0052,Compostable Trash Bags,Clothing,11.22,-0.86,0.93,25.18,928,4.3,0
