Product_ID,Product_Name,Category,Base_Price,Demand_Elasticity,Seasonal_Factor,Competitor_Price,Inventory_Level,Customer_Rating,Green_Certification,Profit_Margin,Inventory_Risk,Adjusted_Elasticity,Competitor_Price_Difference,Green_Certification_Label
P0001,Solar-Powered Lantern,Personal Care,87.96,-1.14,1.39,111.25,233,4.1,1,0.20934831460674164,1.9057059945495176,-4.6739999999999995,23.290000000000006,Certified
P0002,Recycled Paper Planner,Personal Care,57.1,-1.06,0.92,51.94,272,4.9,0,-0.09934539853677328,5.177796390771339,-5.194000000000001,-5.160000000000004,Non-Certified
P0003,Eco-Friendly Notebook,Stationery,84.04,-0.77,0.98,31.87,460,4.2,0,-1.6369626608095387,5.585289803689205,-3.2340000000000004,-52.17,Non-Certified
P0004,Solar Charger,Household,95.45,-1.46,0.89,119.71,593,4.2,1,0.20265641968089543,6.980535723745004,-6.132,24.25999999999999,Certified
P0005,Organic Cotton T-Shirt,Household,47.45,-1.27,1.02,97.14,107,4.6,0,0.5115297508750257,2.2107894791214693,-5.842,49.69,Non-Certified
P0006,Reusable Water Bottle,Household,51.07,-1.41,1.23,73.92,476,3.9,1,0.3091179653679654,7.577675150160548,-5.499,22.85,Certified
P0007,Bamboo Toothbrush,Household,41.87,-1.17,1.07,37.07,846,4.3,1,-0.12948475856487718,18.883549214413105,-5.031,-4.799999999999997,Certified
P0008,Recycled Paper Planner,Electronics,14.37,-1.18,0.89,73.02,234,4.9,0,0.8032046014790468,18.296544767891913,-5.782,58.65,Non-Certified
P0009,Organic Cotton T-Shirt,Clothing,37.85,-0.62,1.44,111.44,167,3.4,0,0.6603553481694185,3.0639953030970206,-2.108,73.59,Non-Certified
P0010,Compostable Trash Bags,Stationery,64.67,-0.89,1.09,68.41,946,3.2,1,0.0546703698289723,13.420286195405609,-2.8480000000000003,3.739999999999995,Certified
P0011,Recycled Paper Planner,Clothing,98.85,-0.87,0.94,101.8,544,4.9,0,0.02897838899803539,5.854561499800903,-4.263,2.950000000000003,Non-Certified
P0012,Solar-Powered Lantern,Personal Care,18.28,-1.44,0.9,81.9,476,3.3,1,0.7768009768009768,28.93265256503768,-4.752,63.620000000000005,Certified
P0013,Reusable Water Bottle,Electronics,71.9,-1.41,0.89,35.31,716,4.9,0,-1.0362503540073633,11.189073463455797,-6.909,-36.59,Non-Certified
P0014,Compostable Trash Bags,Household,96.19,-0.87,0.84,63.4,52,4.3,0,-0.5171924290220821,0.6435675424135763,-3.7409999999999997,-32.79,Non-Certified
P0015,Eco-Friendly Notebook,Personal Care,61.02,-0.55,0.81,52.78,324,3.5,1,-0.15611974232663892,6.555227794165846,-1.9250000000000003,-8.240000000000002,Certified
P0017,Eco-Friendly Notebook,Household,56.16,-1.39,1.38,60.26,500,3.7,0,0.06803849983405247,6.451546306618772,-5.143,4.100000000000001,Non-Certified
P0018,Bamboo Toothbrush,Electronics,46.97,-0.93,1.04,95.86,170,4.9,0,0.5100146046317546,3.480126430946103,-4.557,48.89,Non-Certified
P0019,Bamboo Toothbrush,Electronics,60.37,-0.7,1.1,19.59,363,5.0,1,-2.0816743236345077,5.466291204240517,-3.5,-40.78,Certified
P0020,Compostable Trash Bags,Household,72.5,-1.04,1.46,55.38,903,3.8,0,-0.30913687251715416,8.530940009447331,-3.952,-17.119999999999997,Non-Certified
P0022,Compostable Trash Bags,Stationery,32.32,-0.76,1.22,107.83,319,4.1,0,0.7002689418529165,8.090204512254504,-3.1159999999999997,75.50999999999999,Non-Certified
P0023,Bamboo Toothbrush,Stationery,85.77,-0.64,1.1,45.85,984,4.4,1,-0.8706652126499453,10.42958440649941,-2.8160000000000003,-39.919999999999995,Certified
P0024,Solar Charger,Stationery,39.26,-0.84,1.02,114.04,215,4.6,0,0.6557348298842511,5.368933105590682,-3.8639999999999994,74.78,Non-Certified
P0025,Bamboo Toothbrush,Stationery,44.75,-1.28,1.27,111.58,884,3.7,1,0.5989424628069546,15.554480270971714,-4.736000000000001,66.83,Certified
P0026,Compostable Trash Bags,Stationery,78.78,-0.92,1.19,95.36,630,3.2,1,0.17386744966442952,6.720129026477308,-2.9440000000000004,16.58,Certified
P0028,Reusable Water Bottle,Household,14.56,-0.93,1.15,31.49,400,3.0,1,0.5376309939663385,23.889154323936932,-2.79,16.93,Certified
P0029,Reusable Water Bottle,Household,10.16,-0.71,1.2,99.38,137,4.4,0,0.8977661501308111,11.236876640419947,-3.124,89.22,Non-Certified
P0030,Bamboo Toothbrush,Electronics,84.0,-1.06,1.28,71.23,169,4.8,1,-0.1792783939351396,1.5718005952380953,-5.088,-12.769999999999996,Certified
P0031,Organic Wool Socks,Clothing,97.81,-1.0,1.34,39.85,620,4.7,0,-1.4544542032622334,4.730462807117668,-4.7,-57.96,Non-Certified
P0032,Compostable Trash Bags,Household,44.0,-0.6,1.01,91.89,164,4.9,1,0.5211666122537817,3.6903690369036903,-2.94,47.89,Certified
P0033,Bamboo Toothbrush,Household,34.36,-0.68,1.15,88.58,567,4.6,0,0.6121020546398735,14.349344536113785,-3.128,54.22,Non-Certified
P0034,Eco-Friendly Notebook,Household,43.91,-0.81,1.45,97.49,325,4.5,0,0.5495948302389989,5.104484878945178,-3.6450000000000005,53.58,Non-Certified
P0035,Compostable Trash Bags,Clothing,85.27,-1.19,1.42,61.51,878,3.2,0,-0.3862786538774183,7.25120041227782,-3.808,-23.759999999999998,Non-Certified
P0036,Compostable Trash Bags,Stationery,74.15,-1.12,1.19,40.84,755,4.2,1,-0.8156219392752203,8.556355785739784,-4.704000000000001,-33.31,Certified
P0037,Bamboo Toothbrush,Electronics,43.34,-1.26,1.07,42.68,337,4.9,1,-0.015463917525773283,7.267034403046547,-6.174,-0.6600000000000037,Certified
P0038,Compostable Trash Bags,Electronics,54.63,-0.57,0.82,67.92,292,3.8,0,0.19567137809187277,6.518351839202083,-2.166,13.29,Non-Certified
P0039,Recycled Paper Planner,Personal Care,66.39,-0.98,1.25,83.27,780,3.2,1,0.20271406268764255,9.399005874378672,-3.136,16.879999999999995,Certified
P0040,Solar-Powered Lantern,Stationery,95.58,-0.75,1.35,81.48,521,3.8,1,-0.17304860088365234,4.037726783070997,-2.8499999999999996,-14.099999999999994,Certified
P0041,Eco-Friendly Notebook,Stationery,46.92,-0.97,1.3,91.55,886,4.8,0,0.4874931731294374,14.525542658534984,-4.656,44.629999999999995,Non-Certified
P0042,Bamboo Toothbrush,Stationery,82.73,-1.5,1.18,92.56,225,3.2,1,0.10620138288677612,2.304822508179559,-4.800000000000001,9.829999999999998,Certified
P0043,Organic Cotton T-Shirt,Electronics,21.7,-1.07,1.38,33.3,551,4.5,0,0.3483483483483483,18.399786281974222,-4.815,11.599999999999998,Non-Certified
P0044,Compostable Trash Bags,Clothing,28.46,-0.98,1.12,103.77,671,4.4,1,0.7257396164594777,21.05084830840277,-4.312,75.31,Certified
